latitude,longitude,elevation,distance_to_coast_km,training_rows,rainfall_mean,rainfall_std,rainfall_max,rainfall_median,rainfall_p95,rainfall_p99,rain_rate_ge20,rain_rate_ge50,rain_rate_ge100,rain_rate_ge150,elevation_climatology,log_distance_to_coast_km,rainfall_extreme_ratio,tail_risk_score,coast_distance_band,elevation_band
9.817444027970172,76.97746737527882,711.18,60.752305307016776,6909,5.576957591547257,9.880083488840777,137.13,1.35,24.747999999999983,45.88280000000001,0.07236937328122739,0.008394847300622376,0.0004342162396873643,0.0,711.1800000000001,4.123131307718385,8.227208297644973,0.009263279779997104,"(43.692, 129.905]","(578.224, 1013.903]"
9.868418285552954,77.42268540810433,706.32,107.75391371048266,6909,3.061707917209437,5.882052553966391,71.73,0.62,14.411999999999988,28.74960000000001,0.02677666811405413,0.001157909972499638,0.0,0.0,706.3199999999999,4.689087657463605,9.390050059430058,0.001157909972499638,"(43.692, 129.905]","(578.224, 1013.903]"
9.941189034092387,78.0235467086555,218.52,102.04255025009167,6909,2.6087422202923722,6.177906323712824,84.6,0.24,13.08,29.8384,0.026487190620929222,0.0017368649587494573,0.0,0.0,218.52,4.635142012147704,11.437844770577263,0.0017368649587494573,"(43.692, 129.905]","(172.721, 222.892]"
9.96687399244852,78.72038578037471,75.96,42.61975409349825,6909,2.4959111304096107,6.122581852396317,86.36,0.18,13.445999999999994,29.9784,0.02634245187436677,0.001881603705311912,0.0,0.0,75.96000000000001,3.775510123286209,12.010999760268069,0.001881603705311912,"(0.882, 43.692]","(61.12, 109.578]"
10.026588000395313,76.49381564842825,47.32,19.185557250301073,6909,7.26795918367347,12.9282636124306,156.36,1.72,32.65599999999994,62.96840000000004,0.11144883485309018,0.017368649587494574,0.0014473874656245477,0.00014473874656245476,47.32,3.00496736107276,8.663833924331394,0.020697640758431033,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
10.292403286831284,78.81832495356751,96.48,48.05894897906134,6909,2.2965335070198294,5.866463625197315,85.27,0.16,12.71,27.851200000000006,0.023737154436242584,0.001881603705311912,0.0,0.0,96.48,3.893022615426411,12.127490318506903,0.001881603705311912,"(43.692, 129.905]","(61.12, 109.578]"
10.424918609545127,77.81498094011764,235.77,153.22668791217697,6909,2.23815747575626,5.6277640374215645,89.13,0.19,11.483999999999979,27.168400000000002,0.020552902011868577,0.0017368649587494573,0.0,0.0,235.77,5.038423519514184,12.138729359108481,0.0017368649587494573,"(129.905, 221.794]","(222.892, 282.49]"
10.472927862510014,76.28602747280819,88.93,22.007105438736463,6909,6.236504559270517,10.35005796445414,99.71,1.72,27.085999999999967,50.80720000000001,0.08886959038934723,0.010710667245621653,0.0,0.0,88.92999999999999,3.1358031003384252,8.14674171571538,0.010710667245621653,"(0.882, 43.692]","(61.12, 109.578]"
10.6589273813557,79.19806287764803,25.3,42.604138888704014,6909,2.7684035316254163,6.581790584443916,92.46,0.36,14.62,32.28640000000001,0.02981618179186568,0.0026052974381241857,0.0,0.0,25.3,3.775152074489551,11.662457430324917,0.0026052974381241857,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
10.687175874610825,79.49760574166763,25.3,38.54752631293029,6909,2.7684035316254163,6.581790584443916,92.46,0.36,14.62,32.28640000000001,0.02981618179186568,0.0026052974381241857,0.0,0.0,25.3,3.6775031464404053,11.662457430324917,0.0026052974381241857,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
10.693947839637175,92.4893705027524,7.14,9.310416477859714,6909,5.893459256042843,8.48847735054498,203.42,2.69,22.293999999999976,36.96960000000003,0.06585612968591692,0.002460558691561731,0.0002894774931249095,0.00014473874656245476,7.14,2.333154692737697,6.272987072763128,0.003473729917498914,"(0.882, 43.692]","(0.009000000000000001, 61.12]"
10.788943340590432,77.52424342350606,284.14,153.45797921532758,6909,1.9160949486177448,4.164008153566652,61.11,0.3,9.687999999999983,19.842800000000008,0.00998697351280938,0.0002894774931249095,0.0,0.0,284.14,5.039922080155935,10.355848836439758,0.0002894774931249095,"(129.905, 221.794]","(282.49, 359.084]"
10.78964417685464,76.47412662818878,370.89,55.123698086228984,6909,5.458526559559994,9.201189577182948,100.11,1.4,23.637999999999984,43.40600000000002,0.07179041829497756,0.005500072369373281,0.00014473874656245476,0.0,370.89,4.027558149111482,7.951961316743619,0.005789549862498191,"(43.692, 129.905]","(359.084, 440.154]"
